Transaction_Text,Label
Zomato food order UPI debit | Ref:2bbc24dc | Amount: INR 77188.27,Food
Swiggy Instamart grocery debit | Ref:caaac5d2 | Amount: INR 80472.98,Food
Blinkit quick commerce payment | Ref:9bfe45fe | Amount: INR 79329.27,Food
BigBasket monthly subscription charge | Ref:fb17c6ad | Amount: INR 69377.11,Food
Dunzo delivery fee and order | Ref:c0f798ca | Amount: INR 11576.15,Food
Domino's pizza online order | Ref:badae59e | Amount: INR 47262.71,Food
McDonald's India card swipe | Ref:b0421fd2 | Amount: INR 61342.83,Food
KFC dine-in bill payment | Ref:aa5ddaae | Amount: INR 97243.26,Food
Subway sandwich order UPI | Ref:cce6bbad | Amount: INR 42725.11,Food
Starbucks coffee reload | Ref:650edaba | Amount: INR 90778.13,Food
Cafe Coffee Day outlet bill | Ref:5abcbcdc | Amount: INR 31272.73,Food
Barbeque Nation reservation prepay | Ref:e2fbb9ff | Amount: INR 82999.23,Food
Haldiram's sweets purchase | Ref:a15a2a99 | Amount: INR 1500.52,Food
ITC Master Chef frozen foods | Ref:0ce1b5da | Amount: INR 94207.37,Food
Mother Dairy booth milk debit | Ref:ed36caea | Amount: INR 71000.1,Food
Nandini milk parlour UPI | Ref:24cfdb1e | Amount: INR 92110.8,Food
Local kirana store POS debit | Ref:be69bb40 | Amount: INR 10561.46,Food
Reliance Fresh supermarket bill | Ref:d177a0b7 | Amount: INR 29995.22,Food
DMart grocery checkout | Ref:72ecb3b9 | Amount: INR 33216.89,Food
Spencer's Retail food basket | Ref:de184e0b | Amount: INR 82658.88,Food
Foodpanda order settlement | Ref:9a4fd2bb | Amount: INR 50967.96,Food
EatSure cloud kitchen debit | Ref:f3c89916 | Amount: INR 33969.21,Food
Faasos wrap order payment | Ref:5ab9a7a2 | Amount: INR 78489.75,Food
Thalis and meals cloud kitchen | Ref:bbc5ede8 | Amount: INR 77182.42,Food
FreshToHome fish and meat order | Ref:cef73ccb | Amount: INR 10911.65,Food
Licious meat subscription debit | Ref:fcc465c2 | Amount: INR 26064.06,Food
Box8 meals subscription | Ref:f3faf4db | Amount: INR 27350.21,Food
Freshmenu salad bowl order | Ref:c66519db | Amount: INR 40901.29,Food
Behrouz Biryani order | Ref:0202fce7 | Amount: INR 76832.47,Food
Ovenstory pizza UPI | Ref:dede64af | Amount: INR 86537.31,Food
Wow Momo kiosk payment | Ref:fcee8e7a | Amount: INR 43086.61,Food
Chaayos tea and snacks | Ref:0f6fb2a7 | Amount: INR 88953.25,Food
Third Wave Coffee roasters | Ref:b7cf2d22 | Amount: INR 34950.52,Food
Blue Tokai coffee beans order | Ref:ee0c7859 | Amount: INR 21720.83,Food
Instamart late night snacks | Ref:2beef853 | Amount: INR 2418.35,Food
Zepto 10 min grocery | Ref:6a56edcc | Amount: INR 64087.98,Food
JioMart grocery UPI collect | Ref:fb5da6e0 | Amount: INR 96348.3,Food
More supermarket self checkout | Ref:afeced8f | Amount: INR 93679.37,Food
Foodhall gourmet purchase | Ref:5c747eca | Amount: INR 77705.32,Food
Nature's Basket organic bill | Ref:c4d3debc | Amount: INR 69217.05,Food
Amazon Fresh grocery order | Ref:be18a3af | Amount: INR 1925.51,Food
Flipkart Supermart staples | Ref:4cccf8fb | Amount: INR 63481.32,Food
Metro Cash and Carry wholesale | Ref:3b1a750d | Amount: INR 77569.05,Food
